25.0,46.0,25.82
25.0,46.0,25.82
25.0,46.0,25.82
25.0,46.0,25.82
25.0,46.0,25.82
25.0,46.0,25.82
25.0,45.0,25.8
25.0,45.0,25.8
25.0,45.0,25.8
25.0,45.0,25.8
25.0,46.0,25.82
25.0,46.0,25.82
25.0,45.0,25.8
25.0,45.0,25.8
25.0,45.0,25.8
25.0,45.0,25.8
25.0,45.0,25.8
25.0,45.0,25.8
25.0,46.0,25.82
25.0,46.0,25.82,Mon Sep 14 00:53:00 2015
25.0,46.0,25.82,Mon Sep 14 00:53:01 2015
25.0,46.0,25.82,Mon Sep 14 00:53:02 2015
25.0,46.0,25.82,Mon Sep 14 00:53:03 2015
25.0,46.0,25.82,Mon Sep 14 00:53:04 2015
25.0,46.0,25.82,Mon Sep 14 00:53:05 2015
26.0,45.0,26.39,Mon Sep 14 00:53:06 2015
26.0,45.0,26.39,Mon Sep 14 00:53:07 2015
25.0,45.0,25.8,Mon Sep 14 00:53:09 2015
25.0,45.0,25.8,Mon Sep 14 00:53:10 2015
25.0,45.0,25.8,Mon Sep 14 00:53:11 2015
25.0,45.0,25.8,Mon Sep 14 00:53:12 2015
25.0,45.0,25.8,Mon Sep 14 00:53:13 2015
25.0,45.0,25.8,Mon Sep 14 00:53:14 2015
25.0,46.0,25.82,Mon Sep 14 00:53:15 2015
25.0,46.0,25.82,Mon Sep 14 00:53:16 2015
25.0,45.0,25.8,Mon Sep 14 00:53:18 2015
25.0,45.0,25.8,Mon Sep 14 00:53:19 2015
25.0,45.0,25.8,Mon Sep 14 00:53:20 2015
25.0,45.0,25.8,Mon Sep 14 00:53:21 2015
25.0,45.0,25.8,Mon Sep 14 00:53:22 2015
25.0,45.0,25.8,Mon Sep 14 00:53:23 2015
25.0,45.0,25.8,Mon Sep 14 00:53:25 2015
25.0,45.0,25.8,Mon Sep 14 00:53:26 2015
25.0,46.0,25.82,Mon Sep 14 00:53:27 2015
25.0,46.0,25.82,Mon Sep 14 00:53:28 2015
25.0,46.0,25.82,Mon Sep 14 00:53:29 2015
25.0,46.0,25.82,Mon Sep 14 00:53:30 2015
25.0,46.0,25.82,Mon Sep 14 00:53:31 2015
25.0,46.0,25.82,Mon Sep 14 00:53:32 2015
25.0,45.0,25.8,Mon Sep 14 00:53:34 2015
25.0,45.0,25.8,Mon Sep 14 00:53:35 2015
25.0,45.0,25.8,Mon Sep 14 00:53:36 2015
25.0,45.0,25.8,Mon Sep 14 00:53:37 2015
25.0,46.0,25.82,Mon Sep 14 00:53:38 2015
